Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415258590000; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415861588100; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415872588100; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415883087900; [-513.8344116210938, 160.659423828125, 0.3060622811317444, 90.00018310546875, -0.1313786804676056, -0.16265864670276642]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415893588800; [-513.8344116210938, 160.659423828125, 0.305995374917984, 90.00018310546875, -0.13150162994861603, -0.16253662109375]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415903588600; [-513.8344116210938, 160.659423828125, 0.305995374917984, 90.00018310546875, -0.13150162994861603, -0.16253662109375]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415914091700; [-513.8344116210938, 160.65943908691406, 0.305867999792099, 90.00018310546875, -0.13180215656757355, -0.1621703803539276]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415924588100; [-513.8344116210938, 160.65943908691406, 0.305867999792099, 90.00018310546875, -0.13180215656757355, -0.1621703803539276]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415935088400; [-513.8344116210938, 160.65943908691406, 0.305867999792099, 90.00018310546875, -0.13180215656757355, -0.1621703803539276]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415946087900; [-513.8344116210938, 160.65943908691406, 0.3057936728000641, 90.00018310546875, -0.1320207118988037, -0.1619567722082138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415956088200; [-513.8344116210938, 160.65943908691406, 0.3057936728000641, 90.00018310546875, -0.1320207118988037, -0.1619567722082138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415967088400; [-513.8344116210938, 160.65943908691406, 0.3057384788990021, 90.00018310546875, -0.13226661086082458, -0.1617431342601776]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415977588100; [-513.8344116210938, 160.65943908691406, 0.30567222833633423, 90.00018310546875, -0.1325056552886963, -0.161529541015625]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415987587700; [-513.8344116210938, 160.65943908691406, 0.30567222833633423, 90.00018310546875, -0.1325056552886963, -0.161529541015625]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889415998588600; [-513.8344116210938, 160.65943908691406, 0.3056296706199646, 90.00018310546875, -0.13272422552108765, -0.161346435546875]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416008588100; [-513.8344116210938, 160.65943908691406, 0.3056296706199646, 90.00018310546875, -0.13272422552108765, -0.161346435546875]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416019088600; [-513.8344116210938, 160.65943908691406, 0.30557680130004883, 90.00018310546875, -0.13296328485012054, -0.1611633151769638]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416030087800; [-513.8344116210938, 160.65943908691406, 0.3055400252342224, 90.00018310546875, -0.13320234417915344, -0.1610107272863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416040588200; [-513.8344116210938, 160.65943908691406, 0.3055400252342224, 90.00018310546875, -0.13320234417915344, -0.1610107272863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416051587700; [-513.8344116210938, 160.65943908691406, 0.3054957389831543, 90.00018310546875, -0.1334550529718399, -0.1608581393957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416062587600; [-513.8344116210938, 160.65943908691406, 0.30547019839286804, 90.00018310546875, -0.13363946974277496, -0.1607360541820526]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416073088100; [-513.8344116210938, 160.65943908691406, 0.30547019839286804, 90.00018310546875, -0.13363946974277496, -0.1607360541820526]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416084087500; [-513.8344116210938, 160.65943908691406, 0.3054440915584564, 90.00019073486328, -0.13384437561035156, -0.1606139987707138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416095587800; [-513.8344116210938, 160.65943908691406, 0.3054440915584564, 90.00019073486328, -0.13384437561035156, -0.1606139987707138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416106088100; [-513.8344116210938, 160.65943908691406, 0.3054051697254181, 90.00019073486328, -0.13406294584274292, -0.1604919284582138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416116588100; [-513.8344116210938, 160.65943908691406, 0.3053879737854004, 90.00019073486328, -0.13424736261367798, -0.160430908203125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416127588200; [-513.8344116210938, 160.65943908691406, 0.3053879737854004, 90.00019073486328, -0.13424736261367798, -0.160430908203125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416127588200; [-513.8344116210938, 160.65943908691406, 0.30536583065986633, 90.00019073486328, -0.13440445065498352, -0.16033935546875]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416138587800; [-513.8344116210938, 160.65943908691406, 0.30535486340522766, 90.00019836425781, -0.1345478892326355, -0.1602477878332138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416149587300; [-513.8344116210938, 160.65943908691406, 0.30535486340522766, 90.00019836425781, -0.1345478892326355, -0.1602477878332138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416160088300; [-513.8344116210938, 160.65943908691406, 0.3053346872329712, 90.00019836425781, -0.13470497727394104, -0.1601867973804474]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416170587700; [-513.8344116210938, 160.65943908691406, 0.3053346872329712, 90.00019836425781, -0.13470497727394104, -0.1601867973804474]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416181088100; [-513.8344116210938, 160.65943908691406, 0.3053346872329712, 90.00019836425781, -0.13470497727394104, -0.1601867973804474]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416192090600; [-513.8344116210938, 160.65943908691406, 0.3053090274333954, 90.00017547607422, -0.13482792675495148, -0.160125732421875]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416203587900; [-513.8344116210938, 160.65943908691406, 0.3053005039691925, 90.00017547607422, -0.13482792675495148, -0.160125732421875]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416214088200; [-513.8344116210938, 160.65943908691406, 0.3053005039691925, 90.00017547607422, -0.13482792675495148, -0.160125732421875]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416224588200; [-513.8344116210938, 160.65943908691406, 0.3052942454814911, 90.00017547607422, -0.13501234352588654, -0.1600341647863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416235587500; [-513.8344116210938, 160.65943908691406, 0.3052942454814911, 90.00017547607422, -0.13501234352588654, -0.1600341647863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416246088000; [-513.8344116210938, 160.65943908691406, 0.3052908182144165, 90.00017547607422, -0.13501234352588654, -0.1600341647863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416256587100; [-513.8344116210938, 160.65943908691406, 0.30529260635375977, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416267087500; [-513.8344116210938, 160.65943908691406, 0.30529260635375977, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416277087300; [-513.8344116210938, 160.65943908691406, 0.30529260635375977, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416287587500; [-513.8344116210938, 160.65943908691406, 0.3052893280982971, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416298087700; [-513.8344116210938, 160.65943908691406, 0.3052893280982971, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416309087300; [-513.8344116210938, 160.65943908691406, 0.3052893280982971, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416319589100; [-513.8344116210938, 160.65943908691406, 0.3052893280982971, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416329588300; [-513.8344116210938, 160.65943908691406, 0.30528825521469116, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416340087300; [-513.8344116210938, 160.65943908691406, 0.30529046058654785, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416350587100; [-513.8344116210938, 160.65943908691406, 0.30529046058654785, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416361086700; [-513.8344116210938, 160.65943908691406, 0.3052918612957001, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416372087000; [-513.8344116210938, 160.65943908691406, 0.3052918612957001, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416382587100; [-513.8344116210938, 160.65943908691406, 0.3052918612957001, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416393090000; [-513.8344116210938, 160.65943908691406, 0.30529484152793884, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416403586900; [-513.8344116210938, 160.65943908691406, 0.30529728531837463, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416413587200; [-513.8344116210938, 160.65943908691406, 0.30529728531837463, 90.00017547607422, -0.13516943156719208, -0.15997314453125]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416424087400; [-513.8344116210938, 160.65943908691406, 0.30529579520225525, 90.00017547607422, -0.13522407412528992, -0.1598815768957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416434587400; [-513.8344116210938, 160.65943908691406, 0.30529579520225525, 90.00017547607422, -0.13522407412528992, -0.1598815768957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416445586800; [-513.8344116210938, 160.65943908691406, 0.30529844760894775, 90.00017547607422, -0.13522407412528992, -0.1598815768957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416456086400; [-513.8344116210938, 160.65943908691406, 0.30529844760894775, 90.00017547607422, -0.13522407412528992, -0.1598815768957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416466586800; [-513.8344116210938, 160.65943908691406, 0.30529844760894775, 90.00017547607422, -0.13522407412528992, -0.1598815768957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416477586400; [-513.8344116210938, 160.65943908691406, 0.3053015470504761, 90.00017547607422, -0.13522407412528992, -0.1598815768957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416477586400; [-513.8344116210938, 160.65943908691406, 0.3053015470504761, 90.00017547607422, -0.13522407412528992, -0.1598815768957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416498087000; [-513.8344116210938, 160.65943908691406, 0.3053015470504761, 90.00017547607422, -0.13522407412528992, -0.1598815768957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416509086700; [-513.8344116210938, 160.65943908691406, 0.3053037226200104, 90.00017547607422, -0.13522407412528992, -0.1598815768957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416519087000; [-513.8344116210938, 160.65943908691406, 0.3053037226200104, 90.00017547607422, -0.13522407412528992, -0.1598815768957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416519087000; [-513.8344116210938, 160.65943908691406, 0.3053051829338074, 90.00017547607422, -0.13522407412528992, -0.1598815768957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 1744889416540586500; [-513.8344116210938, 160.65943908691406, 0.3053051829338074, 90.00017547607422, -0.13522407412528992, -0.1598815768957138]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
